StockCode,StockAbbre,IndustryClassification
2039.HK,中集集團,港口運輸
2066.HK,盛京銀行,銀行
2068.HK,中鋁國際,建築工程
2078.HK,榮陽實業,鋁
2080.HK,奧克斯國際,餐飲
2083.HK,大自然家居,傢俱家居
2086.HK,海航科技投資,電腦設備
2088.HK,西王置業,房地產
2098.HK,卓爾集團,房地產
2099.HK,中國黃金國際,貴金屬
2100.HK,百奧家庭互動,軟體發展
2111.HK,超盈國際控股,紡織品
2112.HK,優庫資源,鋼鐵
2113.HK,東盈控股,房屋建築
2118.HK,天山發展控股,房地產
2120.HK,康寧醫院,醫院
2121.HK,一化控股,化工用品
2122.HK,凱知樂國際,UNKNOWN
2123.HK,金盾控股,紡織品
2128.HK,中國聯塑,管材
2133.HK,中國多金屬,其他金屬礦物
2136.HK,利福中國,百貨商城
2138.HK,香港醫思醫療集團,美容保健
2139.HK,甘肅銀行,UNKNOWN
2166.HK,芯智控股,電子元器件
2168.HK,盈德氣體,UNKNOWN
2178.HK,百勤油服,氣油設備與服務
2183.HK,三盛控股,地產投資
2186.HK,綠葉製藥,藥品
2188.HK,泰坦能源技術,環保工程
2193.HK,萬景控股,建築工程
2196.HK,複星醫藥,藥品
2198.HK,中國三江化工,化工用品
2199.HK,維珍妮,內衣
2200.HK,浩沙國際,體育服裝
2202.HK,萬科企業,房地產
2203.HK,泰邦集團,半導體
2208.HK,金風科技,環保工程
2211.HK,大健康國際,醫藥商業
2212.HK,高鵬礦業,其他金屬礦物
2213.HK,益華控股,百貨商城
2218.HK,安德利果汁,果汁飲料
2221.HK,創業集團控股,建築工程
2222.HK,雷士照明,傢俱家居
2223.HK,卡撒天嬌,傢俱家居
2225.HK,Kakiko Group,UNKNOWN
2226.HK,老恒和釀造,食品添加劑
2227.HK,守益控股,UNKNOWN
2228.HK,中國節能海東青,紡織品
2229.HK,長港敦信,紙製品
2232.HK,晶苑國際,UNKNOWN
2233.HK,西部水泥,水泥
2236.HK,惠生工程,氣油設備與服務
2238.HK,廣汽集團,汽車製造
2239.HK,國微技術,通信設備
2255.HK,海昌海洋公園,旅遊服務
2266.HK,黎氏企業,建築裝飾
2268.HK,優源控股,紙製品
2269.HK,藥明生物,生物醫藥
2277.HK,華融投資股份,房屋建築
2278.HK,海藍控股,房地產
2280.HK,慧聰集團,電商及互聯網
2281.HK,興瀘水務,水務
2282.HK,美高梅中國,博彩
2283.HK,東江集團控股,電子元器件
2286.HK,辰興發展,房地產
2288.HK,宏基資本,房地產
2289.HK,創美藥業,醫藥商業
2292.HK,晉安實業,UNKNOWN
2293.HK,百本醫護,其他
2298.HK,都市麗人,內衣
2299.HK,百宏實業,紡織品
2300.HK,澳科控股,包裝印刷
2302.HK,中核國際,其他金屬礦物
2303.HK,恒興黃金,貴金屬
2307.HK,錦興國際控股,紡織品
2308.HK,研祥智能,電腦設備
2309.HK,伯明罕體育,體育
2310.HK,申基國際,電子元器件
2312.HK,中國金融租賃,UNKNOWN
2313.HK,申洲國際,體育服裝
2314.HK,理文造紙,紙製品
2317.HK,味丹國際,食品添加劑
2318.HK,中國平安,保險
2319.HK,蒙牛乳業,乳製品
2320.HK,合豐集團,紙製品
2322.HK,仁瑞投資,化工用品
2323.HK,中國港橋,電子元器件
2324.HK,首都創投,UNKNOWN
2326.HK,新源萬恒控股,其他金屬礦物
2327.HK,美瑞健康國際,保健品
2328.HK,中國財險,保險
2329.HK,國瑞置業,房地產
2330.HK,中國上城,房地產
2331.HK,李寧,體育服裝
2333.HK,長城汽車,汽車製造
2336.HK,海亮國際,半導體
2337.HK,眾誠能源,UNKNOWN
2338.HK,濰柴動力,汽車零部件
2339.HK,京西國際,汽車零部件
2340.HK,升捷控股,建築裝飾
2341.HK,中怡國際,化工用品
2342.HK,京信通信,通信設備
2343.HK,太平洋航運,港口運輸
2345.HK,上海集優,電子元器件
2348.HK,東瑞製藥,藥品
2349.HK,中國城市基礎設施,房地產
2355.HK,寶業集團,房屋建築
2356.HK,大新銀行集團,銀行
2357.HK,中航科工,航空航太
2358.HK,久融控股,消費電子
2362.HK,金川國際,其他金屬礦物
2366.HK,星美文化旅遊,影視
2368.HK,鷹美,體育服裝
2369.HK,酷派集團,通信設備
2371.HK,創聯教育金融,教育
2378.HK,保誠,保險
2379.HK,中天國際,地產投資
2380.HK,中國電力,電力
2382.HK,舜宇光學科技,電子元器件
2383.HK,TOM集團,出版
2386.HK,中石化煉化工程,氣油設備與服務
2388.HK,中銀香港,銀行
2389.HK,北控醫療健康,健康管理
2393.HK,巨星醫療控股,醫療器械
2398.HK,友佳國際,電子元器件
2399.HK,虎都,男裝
2448.HK,恒宇集團,UNKNOWN
2468.HK,創益太陽能,新能源
2488.HK,元征科技,汽車零部件
2588.HK,中銀航空租賃,融資租賃
2600.HK,中國鋁業,鋁
2601.HK,中國太保,保險
2607.HK,上海醫藥,醫藥商業
2608.HK,陽光100中國,房地產
2611.HK,國泰君安,證券
2623.HK,愛德新能源,鋼鐵
2628.HK,中國人壽,保險
2633.HK,雅各臣科研製藥,藥品
2638.HK,港燈-SS,UNKNOWN
2662.HK,承興國際控股,電子元器件
2663.HK,應力控股,UNKNOWN
2666.HK,環球醫療,信貸
2668.HK,百德國際,服裝
2669.HK,中海物業,物業管理
2678.HK,天虹紡織,紡織品
2683.HK,華新手袋國際控股,UNKNOWN
2686.HK,亞美能源,油氣開採
2688.HK,新奧能源,燃氣
2689.HK,玖龍紙業,紙製品
2698.HK,魏橋紡織,紡織品
2699.HK,新明中國,房地產
2700.HK,格林國際控股,美容保健
2708.HK,艾伯科技,UNKNOWN
2722.HK,重慶機電,電子元器件
2727.HK,上海電氣,環保工程
2728.HK,裕華能源,油氣開採
2738.HK,華津國際控股,鋼鐵
2768.HK,佳源國際控股,房地產
2777.HK,富力地產,房地產
2788.HK,精熙國際,電子元器件
2789.HK,遠大中國,幕牆
2799.HK,中國華融,資產管理
2858.HK,易鑫集團,UNKNOWN
2863.HK,高豐集團控股,房屋建築
2866.HK,中遠海發,港口運輸
2868.HK,首創置業,房地產
2869.HK,綠城服務,物業管理
2877.HK,神威藥業,中藥
2878.HK,Solomon Systech,半導體
2880.HK,大連港,港口運輸
2882.HK,香港資源控股,珠寶首飾
2883.HK,中海油田服務,氣油設備與服務
2886.HK,濱海投資,燃氣
2888.HK,渣打集團,銀行
2889.HK,鎳資源國際,鋼鐵
2898.HK,龍潤茶,茶
2899.HK,紫金礦業,貴金屬
3300.HK,中國玻璃,電子元器件
3301.HK,融信中國,房地產
3303.HK,巨濤海洋石油服務,氣油設備與服務
3306.HK,江南布衣,女裝
3308.HK,金鷹商貿集團,百貨商城
3309.HK,希瑪眼科,UNKNOWN
3311.HK,中國建築國際,建築工程
3313.HK,雅高控股,其他金屬礦物
3315.HK,金邦達寶嘉,電腦設備
3318.HK,中國香精香料,食品添加劑
3319.HK,雅生活服務,UNKNOWN
3320.HK,華潤醫藥,醫藥商業
3322.HK,永嘉集團,體育服裝
3323.HK,中國建材,水泥
3326.HK,保發集團,珠寶首飾
3328.HK,交通銀行,銀行
3329.HK,交銀國際,證券
3330.HK,靈寶黃金,貴金屬
3331.HK,維達國際,化妝品
3332.HK,中生聯合,化妝品
3333.HK,中國恒大,房地產
3335.HK,DBA電訊,電商及互聯網
3336.HK,巨騰國際,電腦設備
3337.HK,安東油田服務,氣油設備與服務
3339.HK,中國龍工,重型機械
3344.HK,共用集團,紡織品
3355.HK,先進半導體,半導體
3358.HK,榮威國際,UNKNOWN
3360.HK,遠東宏信,融資租賃
3363.HK,正業國際,紙製品
3366.HK,華僑城,房地產
3368.HK,百盛集團,百貨商城
3369.HK,秦港股份,港口運輸
3377.HK,遠洋集團,房地產
3378.HK,廈門港務,港口運輸
3380.HK,龍光地產,房地產
3382.HK,天津港發展,港口運輸
3383.HK,雅居樂集團,房地產
3389.HK,亨得利,鐘錶
3393.HK,威勝集團,電子元器件
3395.HK,PERSTA,油氣開採
3396.HK,聯想控股,綜合
3398.HK,華鼎控股,服裝
3399.HK,粵運交通,物流
3600.HK,現代牙科,醫療器械
3606.HK,福耀玻璃,汽車零部件
3608.HK,永盛新材料,紡織品
3618.HK,重慶農村商業銀行,銀行
3623.HK,中國金融發展,融資租賃
3626.HK,Hssp Intl,包裝印刷
3628.HK,仁恒實業控股,電子元器件
3633.HK,中裕燃氣,燃氣
3636.HK,保利文化,其他服務
3638.HK,華邦金融,電腦設備
3639.HK,億達中國,房地產
3663.HK,協眾國際控股,汽車零部件
3666.HK,國際天食,餐飲
3669.HK,永達汽車,汽車經銷
3678.HK,弘業期貨,證券
3683.HK,榮豐聯合控股,港口運輸
3686.HK,祈福生活服務,綜合
3688.HK,萊蒙國際,房地產
3689.HK,康華醫療,醫院
3698.HK,徽商銀行,銀行
3699.HK,光大永年,UNKNOWN
3708.HK,日成控股,建築裝飾
3709.HK,珂萊蒂爾,女裝
3728.HK,正利控股,房屋建築
3737.HK,中智藥業,醫藥商業
3738.HK,阜博集團,UNKNOWN
3768.HK,滇池水務,水務
3773.HK,年年卡,電商及互聯網
3777.HK,中國光纖,通信設備
3778.HK,中國織材控股,紡織品
3788.HK,中國罕王,貴金屬
3789.HK,禦佳控股,房屋建築
3799.HK,達利食品,休閒食品
3800.HK,保利協鑫能源,新能源
3808.HK,中國重汽,汽車製造
3813.HK,寶勝國際,鞋類
3816.HK,KFM金德,電子元器件
3818.HK,中國動向,體育服裝
3822.HK,三和建築集團,建築工程
3823.HK,德普科技,電子元器件
3828.HK,明輝國際,化妝品
3830.HK,童園國際,玩具
3833.HK,新疆新鑫礦業,其他金屬礦物
3836.HK,和諧汽車,汽車經銷
3838.HK,中國澱粉,玉米加工
3839.HK,正大企業國際,生物醫藥
3848.HK,富道集團,融資租賃
3866.HK,青島銀行,銀行
3868.HK,群星紙業,紙製品
3869.HK,弘和仁愛醫療,醫院
3878.HK,Vicon Holdings,UNKNOWN
3882.HK,天彩控股,消費電子
3883.HK,中國奧園,房地產
3886.HK,康健國際醫療,醫院
3888.HK,金山軟體,軟體發展
3889.HK,大成糖業,玉米加工
3893.HK,易緯集團,其他服務
3898.HK,中車時代電氣,汽車零部件
3899.HK,中集安瑞科,氣油設備與服務
3900.HK,綠城中國,房地產
3903.HK,瀚華金控,信貸
3908.HK,中金公司,證券
3918.HK,金界控股,博彩
3919.HK,金力集團,UNKNOWN
3933.HK,聯邦製藥,藥品
3939.HK,萬國國際礦業,銅
3948.HK,伊泰煤炭,煤炭
3958.HK,東方證券,證券
3963.HK,融眾金融,融資租賃
3966.HK,中國寶豐國際,傢俱家居
3968.HK,招商銀行,銀行
3969.HK,中國通號,資訊化服務
3983.HK,中海石油化學,化肥
3988.HK,中國銀行,銀行
3989.HK,首創環境,新能源
3993.HK,洛陽鉬業,其他金屬礦物
3996.HK,中國能源建設,環保工程
3998.HK,波司登,羽絨服
3999.HK,大成食品,雞肉
6030.HK,中信證券,證券
6033.HK,電訊數碼控股,通信服務
6038.HK,信越控股,幕牆
6060.HK,眾安線上,UNKNOWN
6066.HK,中信建投證券,證券
6068.HK,睿見教育,教育
6080.HK,榮智控股,UNKNOWN
6083.HK,環宇物流,UNKNOWN
6088.HK,FIT HON TENG,通信設備
6090.HK,勝捷企業,UNKNOWN
6099.HK,招商證券,證券
6108.HK,新銳醫藥,藥品
6113.HK,UTS Marketing,傳媒廣告
6116.HK,拉夏貝爾,女裝
6118.HK,奧星生命科技,電子元器件
6122.HK,九台農商銀行,銀行
6123.HK,先達國際物流,航空運輸
6128.HK,泛亞國際,園林工程
6133.HK,維太移動,通信設備
6136.HK,康達環保,水務
6138.HK,哈爾濱銀行,銀行
6139.HK,金茂酒店-SS,UNKNOWN
6158.HK,正榮地產,UNKNOWN
6161.HK,泰加保險,保險
6163.HK,彭順國際,汽車零部件
6166.HK,中國宏泰發展,房地產
6168.HK,中國優通,通信設備
6169.HK,宇華教育,教育
6178.HK,光大證券,證券
6182.HK,乙德投資控股,UNKNOWN
6183.HK,中國綠寶,食用菌
6188.HK,迪信通,通信設備
6189.HK,愛得威建設集團,建築裝飾
6196.HK,鄭州銀行,銀行
6198.HK,青島港,港口運輸
6288.HK,Fast Retail-DRS,UNKNOWN
6388.HK,,UNKNOWN
6808.HK,高鑫零售,超市及便利店
6816.HK,瑞港建設,建築工程
6818.HK,中國光大銀行,銀行
6822.HK,科勁國際,傢俱家居
6823.HK,香港電訊-SS,UNKNOWN
6826.HK,昊海生物科技,生物醫藥
6828.HK,北京燃氣藍天,油氣開採
6829.HK,龍升集團控股,UNKNOWN
6830.HK,華眾車載,汽車零部件
6833.HK,興科蓉醫藥,生物醫藥
6836.HK,天韻國際控股,包裝食品
6837.HK,海通證券,證券
6838.HK,盈利時,鐘錶
6839.HK,雲南水務,水務
6858.HK,本間高爾夫,體育用品
6863.HK,輝山乳業,乳製品
6865.HK,福萊特玻璃,新能源
6866.HK,佐力小貸,信貸
6868.HK,天福,茶
6869.HK,長飛光纖光纜,通信設備
6877.HK,昆侖國際金融,UNKNOWN
6878.HK,鼎豐集團控股,信貸
6880.HK,騰邦控股,其他
6881.HK,中國銀河,證券
6882.HK,東瀛遊,旅遊服務
6885.HK,金馬能源,UNKNOWN
6886.HK,HTSC,證券
6888.HK,英達公路再生科技,建築工程
6889.HK,DYNAM JAPAN,博彩
6893.HK,衍生集團,保健品
6896.HK,金嗓子,中藥
6898.HK,中國鋁罐,包裝印刷
6899.HK,聯眾,軟體發展
8001.HK,東方匯財證券,證券
8003.HK,世大控股,UNKNOWN
8005.HK,裕興科技,消費電子
8006.HK,華泰瑞銀,出版
8007.HK,環球戰略集團,銅
8008.HK,新意網集團,資訊化服務
8009.HK,華夏能源控股,油氣開採
8011.HK,百田石油,油氣開採
8013.HK,ECI TECH,資訊化服務
8016.HK,長虹佳華,電腦設備
8018.HK,匯財金融投資,軟體發展
8019.HK,皓文控股,信貸
8020.HK,宏海控股集團,港口運輸
8021.HK,匯隆控股,建築裝飾
8022.HK,永耀集團控股,其他金屬礦物
8023.HK,鄺文記,房屋建築
8025.HK,亞洲資產,資產管理
8026.HK,長達健康,珠寶首飾
8027.HK,吉輝控股,其他服務
8028.HK,天時軟體,貴金屬
8029.HK,太陽國際,馬業
8030.HK,匯聯金融服務,融資租賃
8031.HK,易通訊集團,其他服務
8032.HK,非凡中國,體育
8033.HK,愛達利網路,資訊化服務
8035.HK,駿高控股,航空運輸
8037.HK,中國生物科技服務,藥品
8039.HK,中國卓銀,房屋建築
8041.HK,薈萃國際,泳裝
8043.HK,Atlinks,UNKNOWN
8045.HK,南大蘇富特,資訊化服務
8046.HK,恒芯中國,有線電視
8047.HK,中國海洋捕撈,供應鏈管理
8048.HK,禦德國際控股,資訊化服務
8049.HK,吉林長龍藥業,中藥
8050.HK,量子思維,電腦設備
8051.HK,訊智海,電腦設備
8052.HK,陸慶娛樂,其他
8053.HK,比優集團,供應鏈管理
8055.HK,中國網路資訊科技,教育
8056.HK,飲食概念,餐飲
8057.HK,麥迪森控股,酒
8059.HK,朝威控股,建築工程
8060.HK,國聯通信,資訊化服務
8062.HK,俊盟國際,資訊化服務
8063.HK,環球大通集團,旅遊服務
8065.HK,高萌科技,UNKNOWN
8066.HK,品創控股,油氣開採
8067.HK,東方大學城控股,其他服務
8069.HK,縱橫遊控股,旅遊服務
8070.HK,僑洋國際控股,電子元器件
8071.HK,中彩網通控股,彩票
8072.HK,羅馬集團,其他金融
8073.HK,興業新材料,電子元器件
8075.HK,寰亞傳媒,影視
8076.HK,新利軟體,電商及互聯網
8077.HK,昆侖國際金融,證券
8078.HK,HMV數碼中國,影視
8079.HK,易還財務投資,信貸
8080.HK,北亞策略,電子元器件
8081.HK,互娛中國,綜合
8082.HK,仁智國際集團,其他服務
8083.HK,中國創新支付,電商及互聯網
8085.HK,香港生命科學,消費電子
8086.HK,新維國際控股,電商及互聯網
8087.HK,中國三三傳媒,出版
8088.HK,海匯國際科技,資產管理
8089.HK,華人策略控股,地產投資
8090.HK,中國融保金融集團,電商及互聯網
8091.HK,奧傳思維控股,傳媒廣告
8092.HK,ITE Holdings,資訊化服務
8093.HK,萬星控股,皮革服裝
8095.HK,北大青鳥環宇,資訊化服務
8098.HK,昌利控股,證券
8100.HK,智易控股,軟體發展
8101.HK,壹家壹品,傢俱家居
8102.HK,利寶閣集團,餐飲
8103.HK,萬泰企業股份,資訊化服務
8106.HK,昇華蘭德,軟體發展
8108.HK,福澤集團,其他服務
8109.HK,麒麟集團控股,資訊化服務
8111.HK,中科光電,新能源
8112.HK,基石金融,傳媒廣告
8113.HK,揚宇科技,電子元器件
8115.HK,上海青浦消防,電子元器件
8116.HK,中國幸福投資,葡萄酒
8117.HK,中國基礎能源,燃氣
8118.HK,濠亮環球,UNKNOWN
8119.HK,即時科研,地產投資
8120.HK,國農金融投資,綜合
8121.HK,超凡網路,傳媒廣告
8123.HK,華億金控,證券
8125.HK,仁德資源,建築裝飾
8126.HK,G.A.控股,汽車經銷
8128.HK,中國地能,環保工程
8129.HK,雲信投資控股,軟體發展
8130.HK,智城控股,傳媒廣告
8131.HK,辰罡科技,軟體發展
8132.HK,中油港燃,通信設備
8133.HK,鑄能控股,電子元器件
8135.HK,正美豐業,汽車零部件
8136.HK,英馬斯集團,UNKNOWN
8137.HK,洪橋集團,新能源
8138.HK,同仁堂國藥,醫藥商業
8139.HK,長安仁恒,化工用品
8142.HK,德利機械,重型機械
8143.HK,華夏醫療,醫院
8145.HK,,通信設備
8147.HK,匯思太平洋,衛星及無線通訊
8148.HK,奧栢中國,軟體發展
8149.HK,浩德控股,其他金融
8150.HK,無縫綠色,傢俱家居
8152.HK,明梁控股,重型機械
8153.HK,科地農業,有線電視
8155.HK,南華資產控股,房地產
8156.HK,眾彩股份,彩票
8157.HK,象興國際,港口運輸
8158.HK,中國再生醫學,生物醫藥
8159.HK,輝煌科技,電腦設備
8160.HK,Goldway Edu,教育
8161.HK,醫彙集團,其他
8162.HK,港銀控股,貴金屬
8163.HK,萬德金融,信貸
8165.HK,華普智通,軟體發展
8166.HK,中國農業生態,供應鏈管理
8167.HK,中國新電信,通信設備
8169.HK,環康集團,環保工程
8170.HK,KSL Holdings,建築工程
8171.HK,中國趨勢,電腦設備
8172.HK,拉近網娛,影視
8173.HK,萬亞企業控股,飲料
8175.HK,中國數碼文化,其他
8176.HK,超人智能,美容保健
8178.HK,中國資訊科技,軟體發展
8179.HK,新煮意控股,餐飲
8181.HK,港深聯合,物業管理
8182.HK,中國糖果,休閒食品
8183.HK,尚捷集團控股,女裝
8186.HK,同仁資源,林業及木材
8187.HK,積木集團,鞋類
8188.HK,駿傑集團控股,房屋建築
8189.HK,泰達生物,化肥
8190.HK,康佰控股,傢俱家居
8191.HK,鴻偉亞洲,林業及木材
8192.HK,環球能源資源,電腦設備
8193.HK,漢華專業服務,其他金融
8195.HK,L&A Intl Hold,服裝
8196.HK,建禹集團,水務
8197.HK,北斗嘉藥業,中藥
8198.HK,樂透互娛,彩票
8199.HK,中國萬桐園,其他服務
8200.HK,修身堂,美容保健
8201.HK,寶聯控股,其他服務
8202.HK,匯創控股,傳媒廣告
8203.HK,凱順能源,供應鏈管理
8205.HK,交大慧穀,電腦設備
8206.HK,神通機器人教育,電商及互聯網
8207.HK,中新控股,信貸
8211.HK,浙江永安,紡織品
8212.HK,譽滿國際控股,證券
8213.HK,新智控股,餐飲
8215.HK,First Credit,信貸
8217.HK,聯旺集團,建築工程
8218.HK,毅高國際控股,電子元器件
8220.HK,比高集團,影視
8221.HK,PF Group,其他金融
8222.HK,壹照明,傢俱家居
8225.HK,中國醫療集團,藥品
8226.HK,樹熊金融集團,農產品
8227.HK,西安海天天,通信設備
8228.HK,國藝娛樂,影視
8229.HK,Future Data,資訊化服務
8230.HK,中國宇天,通信設備
8231.HK,節能元件,半導體
8232.HK,Classified Gp,餐飲
8233.HK,中國基建港口,港口運輸
8235.HK,賽迪顧問,資訊化服務
8236.HK,寶德科技集團,資訊化服務
8237.HK,華星控股,酒店
8238.HK,惠陶集團,傳媒廣告
8239.HK,首都金融控股,信貸
8240.HK,展程式控制股,蔬菜
8242.HK,宏創高科,半導體
8243.HK,大賀傳媒,傳媒廣告
8245.HK,安悅國際控股,通信設備
8246.HK,北方新能源,新能源
8247.HK,中生北控生物科技,生物醫藥
8249.HK,瑞遠智控,資訊化服務
8250.HK,絲路能源,煤炭
8251.HK,優越集團控股,包裝印刷
8252.HK,泰和小貸,信貸
8255.HK,神州數字,電商及互聯網
8256.HK,金利通,通信服務
8257.HK,靖洋集團,半導體
8258.HK,西北實業,新能源
8260.HK,銀合控股,其他服務
8261.HK,海天能源,新能源
8262.HK,宏強控股,房屋建築
8265.HK,中國之信集團,供應鏈管理
8266.HK,卓信國際控股,通信設備
8267.HK,藍港互動,軟體發展
8268.HK,迪臣建設,建築裝飾
8269.HK,富譽控股,米麵
8270.HK,中國煤層氣,油氣開採
8271.HK,環球數碼創意,影視配套
8272.HK,華人飲食集團,餐飲
8273.HK,浙江展望,汽車零部件
8275.HK,永勤集團控股,UNKNOWN
8277.HK,駿東控股,林業及木材
8278.HK,CMON,其他
8279.HK,亞博科技控股,彩票
8280.HK,中國數位視訊,有線電視
8281.HK,中國金典集團,化妝品
8282.HK,智傲控股,軟體發展
8283.HK,正力控股,其他服務
8285.HK,森浩集團,UNKNOWN
8286.HK,長城微光,通信設備
8287.HK,Zioncom,UNKNOWN
8290.HK,亞勢備份,軟體發展
8291.HK,萬成金屬包裝,包裝印刷
8292.HK,盛良物流,物流
8293.HK,星亞控股,其他服務
8295.HK,中植資本國際,其他金融
8296.HK,中國生命集團,其他服務
8297.HK,芭迪貝伊,內衣
8299.HK,大唐潼金,貴金屬
8300.HK,皇璽餐飲集團,餐飲
8301.HK,明華科技,通信設備
8306.HK,中國有色金屬,其他金屬礦物
8307.HK,密迪斯肌,美容保健
8308.HK,古兜控股,酒店
8309.HK,萬成環球控股,其他服務
8310.HK,大豐港,物流
8311.HK,圓美光電,通信設備
8312.HK,中國瀚亞,服裝配套
8313.HK,傑地集團,UNKNOWN
8315.HK,冠輝集團控股,其他服務
8316.HK,柏榮集團控股,建築工程
8317.HK,財華社集團,軟體發展
8319.HK,思博系統,資訊化服務
8320.HK,沛然環保,其他服務
8321.HK,泰錦控股,建築工程
8325.HK,中國支付通,電商及互聯網
8326.HK,同景新能源,新能源
8328.HK,信義香港,汽車零部件
8329.HK,海王英特龍,生物醫藥
8331.HK,飛尚非金屬,其他金屬礦物
8333.HK,阿仕特朗金融,其他金融
8337.HK,直通電訊,通信服務
8340.HK,域高金融,其他金融
8341.HK,艾碩控股,建築裝飾
8342.HK,飛思達科技,資訊化服務
8343.HK,宏光照明,電子元器件
8345.HK,火岩控股,軟體發展
8346.HK,創新電子控股,電子元器件
8347.HK,F8企業,油氣開採
8348.HK,濱海泰達物流,物流
8349.HK,美固科技控股,玻璃
8350.HK,駿溢環球金融,UNKNOWN
8351.HK,俊文寶石,珠寶首飾
8352.HK,成安控股,房屋建築
8353.HK,安科系統,軟體發展
8355.HK,超智能控股,資訊化服務
8356.HK,中國新華電視,建築工程
8358.HK,卓珈控股,美容保健
8359.HK,Hypebeast,傳媒廣告
8360.HK,利駿集團香港,建築裝飾
8361.HK,中國育兒網路,電商及互聯網
8362.HK,運興泰集團,生熟食品
8363.HK,SDM Group,教育
8365.HK,建泉國際控股,其他金融
8366.HK,浙江聯合投資,建築工程
8368.HK,中國創意控股,影視
8369.HK,,房屋建築
8370.HK,智升集團控股,傢俱家居
8371.HK,嘗高美集團,UNKNOWN
8373.HK,靛藍星,UNKNOWN
8375.HK,弘浩國際控股,UNKNOWN
8376.HK,方圓房服集團,UNKNOWN
8377.HK,申酉控股,UNKNOWN
8383.HK,東駿控股,包裝印刷
8385.HK,萬里印刷,UNKNOWN
8392.HK,舍圖控股,UNKNOWN
8395.HK,齊家控股,UNKNOWN
8400.HK,亞洲先鋒娛樂,UNKNOWN
8402.HK,GT Steel Group,UNKNOWN
8405.HK,恒智控股,其他服務
8406.HK,合寶豐年,UNKNOWN
8407.HK,興證國際,證券
8409.HK,海鑫集團,房屋建築
8410.HK,安領國際,資訊化服務
8411.HK,K W Nelson GP,建築裝飾
8412.HK,高門集團,餐飲
8413.HK,亞洲雜貨,包裝食品
8415.HK,樂嘉思控股,建築裝飾
8416.HK,HM INTL HLDGS,包裝印刷
8417.HK,大地教育,教育
8419.HK,AV策劃推廣,UNKNOWN
8420.HK,Nexion Tech,資訊化服務
8421.HK,永順控股香港,其他服務
8422.HK,WT集團,UNKNOWN
8423.HK,CHI HO DEV,建築裝飾
8425.HK,興銘控股,房屋建築
8426.HK,雅居投資控股,UNKNOWN
8427.HK,瑞強集團,混凝土
8428.HK,國茂控股,餐飲
8429.HK,冰雪集團,UNKNOWN
8430.HK,春能控股,UNKNOWN
8431.HK,浩柏國際,旅遊服務
8432.HK,太平洋酒吧,餐飲
8436.HK,德寶集團控股,UNKNOWN
8437.HK,德斯控股,UNKNOWN
8439.HK,新百利融資,其他金融
8442.HK,樺欣控股,服裝配套
8445.HK,怡康泰工程集團,UNKNOWN
8446.HK,ITP Holdings,影視配套
8450.HK,钜京控股,UNKNOWN
8452.HK,富銀融資股份,融資租賃
8455.HK,禮建德集團,建築裝飾
8456.HK,民信國際控股,UNKNOWN
8457.HK,健升物流中國,UNKNOWN
8460.HK,基地錦標集團,建築工程
8462.HK,橋英控股,其他服務
8463.HK,Tomo Holdings,汽車零部件
8465.HK,高科橋,通信設備
8469.HK,盛業資本,信貸
8470.HK,瑩嵐集團,UNKNOWN
8471.HK,新達控股,服裝配套
8472.HK,立高控股,其他服務
8476.HK,大洋環球控股,UNKNOWN
8479.HK,金泰豐國際控股,UNKNOWN
8480.HK,飛霓控股,UNKNOWN
8481.HK,盛龍錦秀國際,包裝印刷
8485.HK,竣球控股,UNKNOWN
8487.HK,ISP Global,UNKNOWN
8491.HK,Cool Link,包裝食品
8493.HK,龍皇集團,UNKNOWN
8495.HK,1957 & CO.,UNKNOWN
8501.HK,莊皇集團公司,UNKNOWN
8506.HK,福紡控股,UNKNOWN
8509.HK,威揚酒業控股,UNKNOWN
8513.HK,迎宏控股,UNKNOWN
8519.HK,Jia Group,UNKNOWN
